Game,Home Team,Visitor Team,Date,Time,Arena
Los Angeles Lakers @ Denver Nuggets,Denver Nuggets,Los Angeles Lakers,"Tue, Oct 24, 2023",7:30p,Ball Arena
Phoenix Suns @ Golden State Warriors,Golden State Warriors,Phoenix Suns,"Tue, Oct 24, 2023",10:00p,Chase Center
Houston Rockets @ Orlando Magic,Orlando Magic,Houston Rockets,"Wed, Oct 25, 2023",7:00p,Kia Center
Boston Celtics @ New York Knicks,New York Knicks,Boston Celtics,"Wed, Oct 25, 2023",7:00p,Madison Square Garden (IV)
Washington Wizards @ Indiana Pacers,Indiana Pacers,Washington Wizards,"Wed, Oct 25, 2023",7:00p,Gainbridge Fieldhouse
Atlanta Hawks @ Charlotte Hornets,Charlotte Hornets,Atlanta Hawks,"Wed, Oct 25, 2023",7:00p,Spectrum Center
Detroit Pistons @ Miami Heat,Miami Heat,Detroit Pistons,"Wed, Oct 25, 2023",7:30p,Kaseya Center
Minnesota Timberwolves @ Toronto Raptors,Toronto Raptors,Minnesota Timberwolves,"Wed, Oct 25, 2023",7:30p,Scotiabank Arena
Cleveland Cavaliers @ Brooklyn Nets,Brooklyn Nets,Cleveland Cavaliers,"Wed, Oct 25, 2023",7:30p,Barclays Center
New Orleans Pelicans @ Memphis Grizzlies,Memphis Grizzlies,New Orleans Pelicans,"Wed, Oct 25, 2023",8:00p,FedEx Forum
Oklahoma City Thunder @ Chicago Bulls,Chicago Bulls,Oklahoma City Thunder,"Wed, Oct 25, 2023",8:00p,United Center
Sacramento Kings @ Utah Jazz,Utah Jazz,Sacramento Kings,"Wed, Oct 25, 2023",9:00p,Delta Center
Dallas Mavericks @ San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,"Wed, Oct 25, 2023",9:30p,Frost Bank Center
Portland Trail Blazers @ Los Angeles Clippers,Los Angeles Clippers,Portland Trail Blazers,"Wed, Oct 25, 2023",10:30p,Crypto.com Arena
Philadelphia 76ers @ Milwaukee Bucks,Milwaukee Bucks,Philadelphia 76ers,"Thu, Oct 26, 2023",7:30p,Fiserv Forum
Phoenix Suns @ Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,"Thu, Oct 26, 2023",10:00p,Crypto.com Arena
Denver Nuggets @ Memphis Grizzlies,Memphis Grizzlies,Denver Nuggets,"Fri, Oct 27, 2023",7:00p,FedEx Forum
Detroit Pistons @ Charlotte Hornets,Charlotte Hornets,Detroit Pistons,"Fri, Oct 27, 2023",7:00p,Spectrum Center
New York Knicks @ Atlanta Hawks,Atlanta Hawks,New York Knicks,"Fri, Oct 27, 2023",7:30p,State Farm Arena
Oklahoma City Thunder @ Cleveland Cavaliers,Cleveland Cavaliers,Oklahoma City Thunder,"Fri, Oct 27, 2023",7:30p,Rocket Mortgage Fieldhouse
Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,"Fri, Oct 27, 2023",7:30p,TD Garden
