season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2014-2015 Season,20,HOU,C,12,0,90,5.6,11.6,.483,0.0,0.0,,5.6,11.6,.483,.483,1.6,9.2,.174,4.0,10.4,14.4,0.8,0.4,3.6,2.0,5.6,12.8
2015-2016 Season,21,HOU,C,77,35,1471,5.7,9.7,.582,0.0,0.0,.000,5.7,9.7,.583,.582,2.0,5.2,.379,4.7,7.3,12.1,1.2,1.4,2.3,1.5,4.6,13.3
2016-2017 Season,22,HOU,C,65,59,1551,8.4,13.1,.643,0.0,0.0,,8.4,13.1,.643,.643,2.2,4.1,.531,4.1,8.1,12.2,1.5,0.8,1.8,2.0,4.2,19.0
2017-2018 Season,23,HOU,C,74,74,2034,7.8,12.0,.652,0.0,0.0,.000,7.8,11.9,.653,.652,2.5,4.5,.560,4.3,9.9,14.2,1.2,1.0,2.4,1.8,3.3,18.2
2018-2019 Season,24,HOU,C,67,67,2249,7.6,11.7,.648,0.0,0.0,,7.6,11.7,.648,.648,2.7,4.2,.636,4.8,8.8,13.6,1.5,0.7,1.6,1.5,2.7,17.8
2019-2020 Season,25,HOU,C,39,39,1279,6.9,10.9,.629,0.0,0.0,,6.9,10.9,.629,.629,1.5,2.9,.529,4.7,10.4,15.1,1.4,0.9,2.0,1.8,2.9,15.3
2020-2021 Season,26,ATL,C,63,63,1898,7.8,13.2,.594,0.0,0.0,,7.8,13.2,.594,.594,2.5,4.3,.573,5.6,11.5,17.1,0.9,0.8,2.4,1.4,2.8,18.1
2021-2022 Season,27,ATL,C,74,73,2042,6.5,10.6,.613,0.0,0.0,.000,6.5,10.6,.614,.613,1.4,3.0,.473,4.9,10.5,15.5,1.6,1.0,1.6,0.8,2.9,14.5
2022-2023 Season,28,ATL,C,65,63,1730,7.3,11.2,.653,0.0,0.0,.000,7.3,11.1,.654,.653,1.6,2.7,.603,5.4,9.6,14.9,1.2,0.9,1.6,1.1,2.9,16.2
2023-2024 Season,29,ATL,C,73,73,1883,6.7,11.8,.571,0.0,0.0,.000,6.7,11.8,.572,.571,2.5,3.9,.631,6.4,8.4,14.8,1.7,0.8,2.0,1.4,3.1,16.0
2024-2025 Season,30,ATL,C,45,41,1010,6.7,11.8,.573,0.0,0.0,,6.7,11.8,.573,.573,1.6,3.0,.541,5.2,9.2,14.4,1.9,1.0,1.6,1.6,3.2,15.1
