season,age,team,league,position,total games,games started,minutes played,player efficiency rating,true shooting pct,3-Pts att rate,free throw att rate,offensive rebound rate,defensive rebound rate,total rebound rate,assist pct,steal pct,block pct,turnover pct,player usage pct,offensive win shares,defensive win shares,win shares,win shares (per 48 min),offensive box plus minus,defensive box plus minus,box plus minus,value over replacement player
2014-2015 Season,20,HOU,NBA,C,12,0,90,12.1,.409,.000,.793,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,-0.2,0.2,0.0,.019,-5.3,0.0,-5.4,-0.1
2015-2016 Season,21,HOU,NBA,C,77,35,1471,18.3,.553,.003,.531,14.4,22.7,18.5,5.1,2.0,5.2,10.9,16.1,2.4,2.0,4.4,.144,-0.3,-0.1,-0.4,0.6
2016-2017 Season,22,HOU,NBA,C,65,59,1551,21.4,.638,.000,.314,12.5,24.5,18.5,6.7,1.1,4.1,12.0,19.9,3.8,2.1,5.9,.184,1.3,-0.1,1.2,1.2
2017-2018 Season,23,HOU,NBA,C,74,74,2034,24.5,.650,.001,.380,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,6.2,4.1,10.2,.242,2.4,1.0,3.4,2.8
2018-2019 Season,24,HOU,NBA,C,67,67,2249,23.8,.658,.000,.357,14.4,27.6,20.8,7.1,1.0,3.9,10.0,18.2,7.8,3.0,10.8,.230,3.3,-0.3,3.0,2.8
2019-2020 Season,25,HOU,NBA,C,39,39,1279,20.6,.626,.000,.268,13.6,30.5,22.0,5.7,1.2,4.8,12.7,16.1,2.8,2.1,4.9,.184,1.0,0.4,1.4,1.1
2020-2021 Season,26,ATL,NBA,C,63,63,1898,24.3,.601,.000,.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,.207,2.7,0.0,2.7,2.2
2021-2022 Season,27,ATL,NBA,C,74,73,2042,21.4,.604,.002,.280,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,5.6,2.7,8.3,.195,2.1,-0.1,2.0,2.1
2022-2023 Season,28,ATL,NBA,C,65,63,1730,22.1,.656,.002,.244,16.1,29.4,22.7,4.7,1.2,3.9,8.3,15.7,4.9,2.4,7.2,.201,2.3,-0.1,2.2,1.8
2023-2024 Season,29,ATL,NBA,C,73,73,1883,20.7,.590,.002,.333,18.7,26.5,22.4,6.9,1.1,5.1,9.5,17.3,4.4,1.9,6.3,.161,1.0,-1.0,0.1,1.0
2024-2025 Season,30,ATL,NBA,C,45,41,1010,17.9,.577,.000,.258,15.1,28.2,21.4,7.8,1.2,4.1,10.7,16.6,1.5,1.4,2.9,.137,-0.7,-0.4,-1.1,0.2
