season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2013-2014 Season,21,CHA,C,82,3,1416,4.4,10.3,.426,0.0,0.0,.000,4.4,10.2,.427,.426,3.7,5.1,.730,3.0,6.0,9.0,2.3,1.0,1.0,2.2,4.3,12.5
2014-2015 Season,22,CHO,C,62,45,1487,4.2,9.0,.461,0.0,0.0,1.000,4.1,9.0,.460,.462,3.1,4.0,.774,2.3,6.4,8.8,2.4,0.8,1.2,1.5,3.8,11.4
2015-2016 Season,23,CHO,C,73,60,1774,4.7,8.9,.529,0.0,0.2,.100,4.7,8.7,.539,.530,3.6,4.7,.754,2.8,6.4,9.2,1.4,1.2,1.3,1.4,4.1,12.9
2016-2017 Season,24,CHO,C,62,58,1725,5.3,9.2,.571,0.0,0.0,.000,5.3,9.2,.572,.571,2.8,4.1,.679,2.8,5.6,8.5,2.1,1.3,1.2,1.4,3.9,13.3
2017-2018 Season,25,CHO,C,33,0,627,4.9,9.0,.545,0.1,0.2,.667,4.8,8.8,.542,.551,3.5,4.9,.718,3.8,6.3,10.2,1.8,0.8,1.2,1.9,4.7,13.4
2018-2019 Season,26,CHO,C,49,47,1243,5.5,10.0,.551,0.2,0.6,.273,5.3,9.4,.570,.559,3.2,4.1,.787,3.2,6.5,9.6,3.0,1.1,1.2,1.8,4.7,14.4
2019-2020 Season,27,CHO,C,58,39,1341,6.7,12.9,.524,0.5,2.0,.240,6.3,10.8,.577,.543,3.3,4.8,.682,4.3,6.7,11.0,2.4,1.1,0.7,2.0,3.8,17.2
2020-2021 Season,28,CHO,C,48,21,1005,6.5,11.6,.559,0.1,1.0,.143,6.3,10.6,.598,.565,3.0,4.3,.714,4.3,7.5,11.7,3.1,1.0,0.6,1.8,4.3,16.2
2021-2022 Season,29,POR,C,27,0,355,5.2,9.1,.567,0.0,0.4,.000,5.2,8.7,.593,.567,3.9,5.0,.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
2022-2023 Season,30,MIA,C,15,2,217,6.1,9.8,.627,0.0,0.3,.000,6.1,9.5,.649,.627,4.0,5.8,.686,4.1,6.5,10.6,1.7,0.5,0.7,2.3,5.5,16.3
2023-2024 Season,31,NOP,C,43,0,320,2.9,7.0,.419,0.1,0.3,.333,2.8,6.6,.424,.427,2.6,4.3,.605,5.4,7.2,12.6,4.4,1.0,0.6,1.8,5.1,8.6
