season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2015-2016 Season,23,LAL,PF,63,22,1266,4.5,8.5,.527,0.0,0.3,.100,4.5,8.2,.541,.528,0.9,1.3,.681,2.9,6.0,8.9,1.3,1.5,0.7,1.2,3.5,9.9
2016-2017 Season,24,LAL,PF,63,7,1442,4.7,9.0,.526,0.2,0.9,.278,4.5,8.1,.554,.540,1.5,2.0,.738,3.0,6.2,9.2,2.4,2.0,1.0,1.4,3.7,11.2
2017-2018 Season,25,2TM,C,66,26,1421,6.1,10.5,.581,0.1,0.3,.167,6.0,10.2,.594,.584,2.3,3.5,.664,4.1,7.4,11.5,2.1,2.2,1.0,1.3,4.4,14.5
2017-2018 Season,25,LAL,C,42,17,922,5.9,9.9,.601,0.0,0.2,.250,5.9,9.7,.606,.603,2.1,3.4,.632,4.2,6.9,11.1,2.2,2.3,0.8,1.6,4.4,14.1
2017-2018 Season,25,CLE,C,24,9,499,6.3,11.5,.550,0.1,0.6,.125,6.3,11.0,.572,.553,2.6,3.6,.720,3.8,8.3,12.1,1.8,2.1,1.3,0.7,4.3,15.4
2018-2019 Season,26,CLE,C,67,30,1795,5.0,9.6,.520,0.7,2.0,.337,4.3,7.6,.567,.554,1.9,2.7,.716,3.4,7.7,11.1,4.3,2.0,0.8,1.9,3.9,12.6
2019-2020 Season,27,CLE,PF,56,10,1472,5.6,10.5,.531,1.4,3.9,.352,4.2,6.7,.636,.596,1.2,1.8,.676,2.6,7.4,10.0,3.0,1.4,0.5,1.5,2.2,13.8
2020-2021 Season,28,CLE,PF,35,27,1091,4.2,9.0,.471,1.4,3.8,.360,2.9,5.2,.551,.546,1.0,1.6,.612,1.8,6.0,7.8,3.5,2.0,0.6,1.8,2.4,10.8
2021-2022 Season,29,2TM,PF,46,11,1040,4.5,8.6,.522,0.8,2.4,.329,3.7,6.1,.599,.569,1.4,2.0,.702,2.5,6.1,8.6,2.8,1.5,0.7,1.3,2.9,11.1
2021-2022 Season,29,POR,C,37,11,858,4.3,8.3,.515,0.8,2.6,.306,3.5,5.7,.610,.563,1.3,2.1,.653,2.4,6.3,8.8,3.1,1.6,0.5,1.1,2.8,10.7
2021-2022 Season,29,NOP,PF,9,0,182,5.3,9.7,.551,0.8,1.6,.500,4.5,8.1,.561,.592,1.6,1.6,1.000,2.8,4.9,7.7,1.6,1.0,1.4,2.0,3.4,13.1
2022-2023 Season,30,NOP,C,65,1,1381,4.8,8.0,.610,0.4,1.1,.333,4.5,6.9,.654,.633,1.4,2.1,.696,2.8,6.5,9.2,3.1,1.5,1.0,1.1,3.5,11.5
2023-2024 Season,31,NOP,C,61,0,1216,4.1,7.1,.573,0.8,1.9,.415,3.3,5.2,.631,.629,1.4,1.8,.770,2.8,6.3,9.1,3.3,1.8,0.6,1.5,2.9,10.4
2024-2025 Season,32,ATL,PF,20,3,385,6.2,12.1,.512,2.7,6.0,.453,3.5,6.1,.569,.624,0.7,0.9,.800,1.9,6.5,8.4,2.9,1.8,1.1,1.2,2.7,15.8
