season,age,team,league,position,total games,games started,minutes played,player efficiency rating,true shooting pct,3-Pts att rate,free throw att rate,offensive rebound rate,defensive rebound rate,total rebound rate,assist pct,steal pct,block pct,turnover pct,player usage pct,offensive win shares,defensive win shares,win shares,win shares (per 48 min),offensive box plus minus,defensive box plus minus,box plus minus,value over replacement player
2015-2016 Season,23,LAL,NBA,PF,63,22,1266,13.4,.544,.033,.157,8.3,18.6,13.3,5.7,2.1,1.4,11.3,12.6,1.3,0.9,2.2,.083,-1.7,0.2,-1.5,0.2
2016-2017 Season,24,LAL,NBA,PF,63,7,1442,15.7,.567,.100,.222,8.8,19.6,14.0,9.7,2.8,2.2,12.4,13.4,2.1,1.5,3.5,.118,-0.6,1.2,0.6,1.0
2017-2018 Season,25,2TM,NBA,C,66,26,1421,20.2,.605,.029,.332,12.4,22.0,17.3,8.6,3.0,2.2,9.7,15.9,3.5,2.3,5.8,.196,0.9,1.5,2.4,1.6
2017-2018 Season,25,LAL,NBA,C,42,17,922,19.4,.618,.016,.344,12.6,20.2,16.4,9.2,3.1,1.8,12.3,15.3,2.1,1.5,3.7,.191,0.6,1.8,2.4,1.0
2017-2018 Season,25,CLE,NBA,C,24,9,499,21.5,.585,.050,.313,12.1,25.5,18.9,7.6,2.8,3.1,5.2,17.0,1.4,0.7,2.1,.206,1.5,0.7,2.2,0.5
2018-2019 Season,26,CLE,NBA,C,67,30,1795,18.6,.583,.205,.280,10.0,24.9,17.1,17.8,2.8,1.9,15.3,15.5,3.3,1.6,4.9,.131,1.0,1.4,2.4,2.0
2019-2020 Season,27,CLE,NBA,PF,56,10,1472,17.3,.608,.369,.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,.128,1.4,0.4,1.7,1.4
2020-2021 Season,28,CLE,NBA,PF,35,27,1091,13.2,.557,.419,.180,5.4,19.0,12.1,14.4,2.8,1.4,15.8,13.9,0.5,1.3,1.8,.080,-1.4,1.8,0.4,0.7
2021-2022 Season,29,2TM,NBA,PF,46,11,1040,14.4,.590,.283,.231,7.4,19.3,13.1,11.4,2.0,1.9,12.0,12.8,1.5,0.8,2.3,.104,-0.4,0.3,-0.1,0.5
2021-2022 Season,29,POR,NBA,C,37,11,858,14.4,.581,.313,.247,7.2,20.1,13.4,12.5,2.2,1.5,11.0,12.4,1.3,0.6,1.9,.104,-0.3,0.6,0.3,0.5
2021-2022 Season,29,NOP,NBA,PF,9,0,182,14.2,.628,.163,.163,8.3,15.6,11.9,6.4,1.4,3.7,16.0,14.7,0.2,0.2,0.4,.104,-1.1,-0.8,-1.9,0.0
2022-2023 Season,30,NOP,NBA,C,65,1,1381,16.0,.649,.138,.259,8.7,20.3,14.5,11.7,2.0,2.6,11.0,11.9,2.8,2.1,4.9,.171,0.0,2.0,2.0,1.4
2023-2024 Season,31,NOP,NBA,C,61,0,1216,14.9,.653,.270,.253,8.7,19.3,14.1,12.1,2.5,1.5,15.5,11.3,2.1,1.9,4.1,.160,-0.2,2.2,2.0,1.2
2024-2025 Season,32,ATL,NBA,PF,17,3,331,17.7,.663,.523,.090,5.3,17.7,11.3,11.3,2.5,3.4,9.4,15.7,0.6,0.4,1.1,.157,2.0,1.3,3.2,0.4
